url,recordist,Country,Dpto,locality,date,latitude,longitude,species,scientific_name,iris,sex,lifestage
545060251,Sam Zhang,Ecuador,Napo,Guango Lodge,2023-02-02,-0.3781,-78.0743,Barred Fruiteater,Pipreola arcuata,brown,female,adult
541156491,Sue Flecker,Colombia,Caldas,Hacienda El Bosque,2023-02-14,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
539957401,Cameron Piper,Colombia,Caldas,Hacienda El Bosque,2023-02-14,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
535067581,Jorge García Mora,Colombia,Caldas,Hacienda El Bosque,2022-08-19,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,female,adult
516985781,Braydon Luikart,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2022-12-11,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,male,adult
483668071,Erik Atwell,Ecuador,Pichincha,Reserva Yanacocha,2022-01-19,-0.1118,-78.5847,Barred Fruiteater,Pipreola arcuata,brown,male,adult
482203021,Gustavo Rojas,Colombia,Caldas,Hacienda El Bosque,2022-05-24,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
478977951,Sarah M,Colombia,Caldas,Hacienda El Bosque,2022-01-29,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
465116831,Hugo Foxonet,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2022-01-24,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,male,adult
455750281,Brad Murphy,Ecuador,Pichincha,Reserva Zuro Loma,2022-05-16,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,male,adult
451060441,Carmen  Andrade,Ecuador,Pichincha,Reserva Geobotánica Pululahua--general area,2022-05-14,0.0404,-78.5029,Barred Fruiteater,Pipreola arcuata,brown,male,adult
449780331,Ayde Solarte,Colombia,Caldas,Hacienda El Bosque,2022-05-10,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,female,adult
425177781,Antonio García Bravo - CORBIDI,Peru,Piura,"Choro Blanco-5.13770, -79.40358",2022-03-11,-5.1377,-79.4036,Barred Fruiteater,Pipreola arcuata,brown,male,adult
423064131,Megan Berg,Colombia,Caldas,Hacienda El Bosque,2022-02-23,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,female,adult
420525851,Gary Rosenberg,Ecuador,Loja,Reserva Huashapamba and Acacana area,2017-11-15,-3.6649,-79.2631,Barred Fruiteater,Pipreola arcuata,brown,female,adult
413524201,Richard Dunn,Ecuador,Pichincha,Reserva Yanacocha,2012-05-27,-0.1118,-78.5847,Barred Fruiteater,Pipreola arcuata,brown,male,adult
408511931,Tony Ford,Ecuador,Napo,Guango Lodge,2022-01-21,-0.3781,-78.0743,Barred Fruiteater,Pipreola arcuata,brown,hembra,adult
408511931,Tony Ford,Ecuador,Napo,Guango Lodge,2022-01-21,-0.3781,-78.0743,Barred Fruiteater,Pipreola arcuata,brown,macho,adult
